0 0 1000 1000
dline -1000 1000 0 0
dline -999 1000 1 0
dline -998 1000 2 0
dline -997 1000 3 0
dline -996 1000 4 0
dline -995 1000 5 0
dline -994 1000 6 0
dline -993 1000 7 0
dline -992 1000 8 0
dline -991 1000 9 0
dline -990 1000 10 0
dline -989 1000 11 0
dline -988 1000 12 0
dline -987 1000 13 0
dline -986 1000 14 0
dline -985 1000 15 0
dline -984 1000 16 0
dline -983 1000 17 0
dline -982 1000 18 0
dline -981 1000 19 0
dline -980 1000 20 0
dline -979 1000 21 0
dline -978 1000 22 0
dline -977 1000 23 0
dline -976 1000 24 0
dline -975 1000 25 0
dline -974 1000 26 0
dline -973 1000 27 0
dline -972 1000 28 0
dline -971 1000 29 0
dline -970 1000 30 0
dline -969 1000 31 0
dline -968 1000 32 0
dline -967 1000 33 0
dline -966 1000 34 0
dline -965 1000 35 0
dline -964 1000 36 0
dline -963 1000 37 0
dline -962 1000 38 0
dline -961 1000 39 0
dline -960 1000 40 0
dline -959 1000 41 0
dline -958 1000 42 0
dline -957 1000 43 0
dline -956 1000 44 0
dline -955 1000 45 0
dline -954 1000 46 0
dline -953 1000 47 0
dline -952 1000 48 0
dline -951 1000 49 0
dline -950 1000 50 0
dline -949 1000 51 0
dline -948 1000 52 0
dline -947 1000 53 0
dline -946 1000 54 0
dline -945 1000 55 0
dline -944 1000 56 0
dline -943 1000 57 0
dline -942 1000 58 0
dline -941 1000 59 0
dline -940 1000 60 0
dline -939 1000 61 0
dline -938 1000 62 0
dline -937 1000 63 0
dline -936 1000 64 0
dline -935 1000 65 0
dline -934 1000 66 0
dline -933 1000 67 0
dline -932 1000 68 0
dline -931 1000 69 0
dline -930 1000 70 0
dline -929 1000 71 0
dline -928 1000 72 0
dline -927 1000 73 0
dline -926 1000 74 0
dline -925 1000 75 0
dline -924 1000 76 0
dline -923 1000 77 0
dline -922 1000 78 0
dline -921 1000 79 0
dline -920 1000 80 0
dline -919 1000 81 0
dline -918 1000 82 0
dline -917 1000 83 0
dline -916 1000 84 0
dline -915 1000 85 0
dline -914 1000 86 0
dline -913 1000 87 0
dline -912 1000 88 0
dline -911 1000 89 0
dline -910 1000 90 0
dline -909 1000 91 0
dline -908 1000 92 0
dline -907 1000 93 0
dline -906 1000 94 0
dline -905 1000 95 0
dline -904 1000 96 0
dline -903 1000 97 0
dline -902 1000 98 0
dline -901 1000 99 0
dline -900 1000 100 0
